cible,pays,n_horizons_disponibles
BALANCE_COURANTE,CHL,10
BALANCE_COURANTE,CRI,10
BALANCE_COURANTE,DNK,10
BALANCE_COURANTE,MAR,10
BALANCE_COURANTE,MYS,10
BALANCE_COURANTE,PRT,10
BALANCE_COURANTE,TUR,10
BALANCE_COURANTE,URY,10
BALANCE_COURANTE,VNM,10
CROISSANCE_PIB,CHL,10
CROISSANCE_PIB,CRI,10
CROISSANCE_PIB,DNK,10
CROISSANCE_PIB,MAR,10
CROISSANCE_PIB,MYS,10
CROISSANCE_PIB,PRT,10
CROISSANCE_PIB,TUR,10
CROISSANCE_PIB,URY,10
CROISSANCE_PIB,VNM,10
DETTE_PUBLIQUE,CHL,10
DETTE_PUBLIQUE,CRI,10
DETTE_PUBLIQUE,DNK,10
DETTE_PUBLIQUE,MAR,10
DETTE_PUBLIQUE,MYS,10
DETTE_PUBLIQUE,PRT,10
DETTE_PUBLIQUE,TUR,10
DETTE_PUBLIQUE,URY,10
DETTE_PUBLIQUE,VNM,10
FBCF,CHL,10
FBCF,CRI,10
FBCF,DNK,10
FBCF,MAR,10
FBCF,MYS,10
FBCF,PRT,10
FBCF,TUR,10
FBCF,URY,10
FBCF,VNM,10
INFLATION_CPI,CHL,10
INFLATION_CPI,CRI,10
INFLATION_CPI,DNK,10
INFLATION_CPI,MAR,10
INFLATION_CPI,MYS,10
INFLATION_CPI,PRT,10
INFLATION_CPI,TUR,10
INFLATION_CPI,URY,10
INFLATION_CPI,VNM,10
SOBG,CHL,10
SOBG,CRI,10
SOBG,DNK,10
SOBG,MAR,10
SOBG,MYS,10
SOBG,PRT,10
SOBG,TUR,10
SOBG,URY,10
SOBG,VNM,10
TACH,CHL,10
TACH,CRI,10
TACH,DNK,10
TACH,MAR,10
TACH,MYS,10
TACH,PRT,10
TACH,TUR,10
TACH,URY,10
TACH,VNM,10
